d1="101010100" d2="北京"
d1="101010200" d2="海淀"
d1="101010300" d2="朝阳"
d1="101010400" d2="顺义"
d1="101010500" d2="怀柔"
d1="101010600" d2="通州"
d1="101010700" d2="昌平"
d1="101010800" d2="延庆"
d1="101010900" d2="丰台"
d1="101011000" d2="石景山"
d1="101011100" d2="大兴"
d1="101011200" d2="房山"
d1="101011300" d2="密云"
d1="101011400" d2="门头沟"
d1="101011500" d2="平谷"
d1="101020100" d2="上海"
d1="101020200" d2="闵行"
d1="101020300" d2="宝山"
d1="101020500" d2="嘉定"
d1="101020600" d2="南汇"
d1="101020700" d2="金山"
d1="101020800" d2="青浦"
d1="101020900" d2="松江"
d1="101021000" d2="奉贤"
d1="101021100" d2="崇明"
d1="101021200" d2="徐家汇"
d1="101021300" d2="浦东"
d1="101030100" d2="天津"
d1="101030200" d2="武清"
d1="101030300" d2="宝坻"
d1="101030400" d2="东丽"
d1="101030500" d2="西青"
d1="101030600" d2="北辰"
d1="101030700" d2="宁河"
d1="101030800" d2="汉沽"
d1="101030900" d2="静海"
d1="101031000" d2="津南"
d1="101031100" d2="塘沽"
d1="101031200" d2="大港"
d1="101031400" d2="蓟县"
d1="101040100" d2="重庆"
d1="101040200" d2="永川"
d1="101040300" d2="合川"
d1="101040400" d2="南川"
d1="101040500" d2="江津"
d1="101040600" d2="万盛"
d1="101040700" d2="渝北"
d1="101040800" d2="北碚"
d1="101040900" d2="巴南"
d1="101041000" d2="长寿"
d1="101041100" d2="黔江"
d1="101041300" d2="万州"
d1="101041400" d2="涪陵"
d1="101041500" d2="开县"
d1="101041600" d2="城口"
d1="101041700" d2="云阳"
d1="101041800" d2="巫溪"
d1="101041900" d2="奉节"
d1="101042000" d2="巫山"
d1="101042100" d2="潼南"
d1="101042200" d2="垫江"
d1="101042300" d2="梁平"
d1="101042400" d2="忠县"
d1="101042500" d2="石柱"
d1="101042600" d2="大足"
d1="101042700" d2="荣昌"
d1="101042800" d2="铜梁"
d1="101042900" d2="璧山"
d1="101043000" d2="丰都"
d1="101043100" d2="武隆"
d1="101043200" d2="彭水"
d1="101043300" d2="綦江"
d1="101043400" d2="酉阳"
d1="101043600" d2="秀山"
d1="101050101" d2="哈尔滨"
d1="101050102" d2="双城"
d1="101050103" d2="呼兰"
d1="101050104" d2="阿城"
d1="101050105" d2="宾县"
d1="101050106" d2="依兰"
d1="101050107" d2="巴彦"
d1="101050108" d2="通河"
d1="101050109" d2="方正"
d1="101050110" d2="延寿"
d1="101050111" d2="尚志"
d1="101050112" d2="五常"
d1="101050113" d2="木兰"
d1="101050201" d2="齐齐哈尔"
d1="101050202" d2="讷河"
d1="101050203" d2="龙江"
d1="101050204" d2="甘南"
d1="101050205" d2="富裕"
d1="101050206" d2="依安"
d1="101050207" d2="拜泉"
d1="101050208" d2="克山"
d1="101050209" d2="克东"
d1="101050210" d2="泰来"
d1="101050301" d2="牡丹江"
d1="101050302" d2="海林"
d1="101050303" d2="穆棱"
d1="101050304" d2="林口"
d1="101050305" d2="绥芬河"
